N°Obs,1. Quel est votre ministère d'appartenance ?,2. Quelle est votre fonction ?,3. Précisez votre fonction,"4. Quel est le nom de votre direction, sous-direction ou service",5. Quelle est votre région (pour les administrations territorial,6. A1. Considérez-vous avoir eu rapidement les moyens de mobilis,7. A1a. Pour quelles raisons ?,8. A2. Dans quel délai avez-vous eu connaissance des moyens numé,9. A3. Comment notez-vous l'efficacité de vos moyens de télétrav,10. A4. Quelles initiatives complémentaires avez-vous prises pou,11. Messagerie du ministère,12. Messagerie autre (ex: gmail),13. Messagerie instantanée interministérielle (Tchap),14. Messagerie instantanée autre (ex: WhatsApp),15. Visio-conférence du ministère,16. Viso-conférence interministériel (WebConf),17. Visio-conférence autre (ex: Skype),18. Outils collaboratifs du ministère,"19. Outils collaboratifs interministériels (OSMOSE, PLANO, RESAN",20. Outils collaboratifs autres,21. Audio-conférence téléphonique,22. B2. Avez-vous eu recours à des ressources ou compétences add,"23. B2a. Si oui, lesquelles et comment les avez-vous activées ?",24. B3. A quelles principales difficultés avez-vous fait face po,25. C1. Considérez-vous que votre direction disposait d'une cult,26. C2. Quels moyens de communication internes avez-vous mis en,"27. C2a. Si ""autre"", lesquelles ?","28. C3. Avez-vous détecté des agents mis en difficulté, y compri",29. C3a. Que pouvez-vous en dire ?,30. C4. Entendez-vous conserver au-delà de la crise des pratique,"31. C4a. Si oui, lesquelles ?",32. C5. Que souhaitez-vous ajouter sur les impacts du numérique,33. Clé,34. Date de saisie,35. Date de dernière modification,36. Date de dernier enregistrement,37. Temps de saisie,38. Langue,39. Progression,40. Origine,41. Appareil utilisé pour la saisie
406,Culture,Chef.fe de service (centrale),,Musée de Cluny,Île-de-France,Pas suffisamment,"La SDSI du MC a été très ouverte et réactive mais ne disposait pas du nombre de PC nomades nécessaires 
par ailleurs aucune plateforme/ cloud externe n'existe avec copie de notre réseau et dossiers pour documents partagés",Dès la 1ère semaine,2,"Echanges avec chaque chef de service et/ou agents par webconférence ou tél, 
demande de mise en service de wimi plano mais qui faute de pédagogie et d'encouragements l'outil n'a pas rencontré le succès attendu
échanges très collaboratifs et beaucoup moins pyramidaux eu égard à la situation sanitaire et familiale de chacun,",Très utile,Non utilisé,Non utilisé,Très utile,Inconnu,Inconnu,Utile,Très utile,Non utilisé,Utile,Très utile,Oui,"Administrateur réseau prestataire (LBI) très disponible, très à l'écoute et en adaptabilité permanente.","Tout comme dans d'autres domaines, un plan de prévention numérique est indispensable. (je dispose d'une formation de ""préventeur"" pour les collections d'oeuvres d'art et l'analogie est aisée)  .

Difficultes : ce type de situation n'était pas identifiée et l'usage des 2 types d'outils mentionnés plus haut : message+ visio
et réseau externe de dépannage est vital.",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Oui,Une charge mentale forte et le besoin d'insister pour de la déconnexion.,Je ne sais pas encore,,"Que les outils numériques ont été utiles  mais doivent rester des outils sous peine d'une déshumanisation totale des relations de travail, les 5 sens doivent rester en harmonie, et les valeurs républicaines de solidarité et fraternité sont majeures.
La myopie est galopante chez les plus jeunes dans certains pays d'Asie et la Cybersécurité 
fait des ravages en Chine. L'exportation vers l'Europe est en cours, alors continuons à veiller sur nos valeurs.",FCV6-SYVY,07/05/2020 10:37:31,,07/05/2020 10:57:34,1203.0531758,FR,Terminé,Direct,PC
407,Culture,Directeur.trice (territoriale),,Directeur du CN D à Lyon,Auvergne-Rhône-Alpes,Oui,,Dès la 1ère semaine,5,,Non utilisé,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Utile,Utile,Non utilisé,Utile,Utile,Non,,Difficultés de connexions.,Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Réseau social;Site Web;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,AMW5-JURU,07/05/2020 10:53:07,,07/05/2020 10:58:04,296.509034,FR,Terminé,Direct,PC
408,Armées,Autre,Expert RH,Direction des Affaires Financières,,Oui,,Dès la 1ère semaine,4,Echanges audio/vidéo (téléphoniques et sur WhatsApp).,Très utile,Non utilisé,Utile,Utile,Non utilisé,Non utilisé,Utile,Utile,Utile,Non utilisé,Très utile,Non,,"Surcharge du réseau : vidéo SKYPE non fluide  (d'où passage à WhatsApp, car échanges non confidentiels).",Oui mais insuffisamment,Web ou audio conférences,,Pas encore,,Oui,Réunions virtuelles  (SKYPE...),"Necéssité de disposer d'un parc informatique composé surtout d'ordinateurs portables  (basiques, pour bureautique). Les postes fixes devraient, selon moi, être l'exception.",UCPZ-8M3M,07/05/2020 10:48:03,,07/05/2020 10:59:57,713.8284389,FR,Terminé,Direct,PC
409,Culture,Chef.fe de mission / département / bureau (centrale),,Archives nationales,Île-de-France,Non,"Pas de matériel informatique disponible, impossibilité de se connecter à distance au principal logiciel métier",Dès la 1ère semaine,2,"Recentrage sur les travaux de fonds, nécessitant un minimum d'organisation collaborative.",Très utile,Pas utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Impossibilité d'accéder au principal logiciel métier, extrêmement limité pour des raisons de sécurité.
Pas de bibliothèque d'outils de travail à distance d'usage simple, ne nécessitant pas une pratique constante pour éviter la prolifération de micro-incompétences dues à l'oubli de fonctionnalités utilisées très épisodiquement.",Non,Courriels / Lettre d'information;Autre,Le téléphone - une partie des agents techniques ne disposant pas d'accès à internet,Oui,Il est très difficile de former à distance des agents qui n'ont pas été préalablement habitués à ces nouveaux modes de travail,Je ne sais pas encore,,,U8K3-PTXG,07/05/2020 10:30:13,,07/05/2020 11:03:44,2011.4234445,FR,Terminé,Direct,PC
410,Armées,Chef.fe de mission / département / bureau (centrale),,délégation à l'accompagnement régional,,Oui,,Dès la 1ère semaine,3,,Très utile,Non utilisé,Non utilisé,Utile,Utile,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Oui,,"manque de robustesse du réseau les trois premières semaines, la situation s'est améliorée ensuite",Oui mais insuffisamment,Autre,,Oui,,Oui,"Etant chargée de l'animation d'un réseau territorial, mon activité se prêtait bien au télétravail, que je pratiquais avant la crise une journée par semaine. je pense que sa généralisation est une nécessité ne serait-ce que pour agir en amont sur les conséquences néfastes des concentrations urbaines (pollution et bruit stress fatigue liée au temps de transport etc...)
Tout cela demande quelques prérequis: lutter contre le présentéisme mais à l'inverse limiter la durée de télétravail car on est vite isolée. A titre personnel, je peux faire 2 jours mais je me suis vite aperçue que je perdais trop le contact avec le service, je suis revenue à une journée.
enfin je pense qu'il ne faut pas tirer de conclusion hâtive de ce nous vivons actuellement. ce n'est pas la même chose de faire du télétravail lorsque beaucoup y sont contraints, ce qui oblige l'ensemble de la structure à adapter son mode de fonctionnement collectif, et d'exercer dans une situation de ""minorité"", j'en juge par expérience",,E9SE-9TMJ,07/05/2020 10:56:25,,07/05/2020 11:10:55,870.3047154,FR,Terminé,Direct,PC
411,Culture,Autre,Administratrice générale,Établissement public Cité de la Céramique - Sèvres et Limoges,,Oui,,La 3ème semaine,5,,Non utilisé,Très utile,Pas utile,Très utile,Inconnu,Pas utile,Très utile,Inconnu,Inconnu,Inconnu,Utile,Oui,Compétences du chef de service informatique de l'établissement pour la configuration des outils à distance,Difficultés intermittentes de connexion privée ; multiplication des mails et appels téléphoniques ;,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences;Autre,Whastapp,Oui,Question de culture (notamment pour les techniciens d'art des ateliers de la manufacture),Je ne sais pas encore,,difficultés de déconnexion ; articulation poursuite de l'activité professionnelle à distance et vie privée (notamment garde d'enfants) très problématique et difficile.,FLJU-V3AZ,07/05/2020 11:28:35,,07/05/2020 11:32:48,253.4531387,FR,Terminé,Direct,PC
412,Culture,Autre,responsable de la mission photographie,Direction des fonds du SCN Archives nationales,Île-de-France,Oui,,Dès la 1ère semaine,2,RDV téléphoniques et par messagerie électronique fréquents,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,Je ne disposais pas des moyens techniques permettant d'accéder à distance aux ressources partagées du réseau des AN et à certains logiciels métier utilisés pour l'élaboration d'instruments de recherche,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,travail à distance,,AUYF-K66M,07/05/2020 11:15:49,,07/05/2020 11:35:59,1209.8765055,FR,Terminé,Direct,PC
413,Culture,Autre,Présidente d’établissement public,Cité de l’architecture et du patrimoine CAPA,,Oui,,Dès la 1ère semaine,5,"La direction des services d’information de la CAPA a parfaitement assuré son travail de mise en place des outils de travail à distance. Elle est autonome vis à vis des services du ministère et l’Etablissement public n’a donc pas sollicité le ministère de la culture sur l’installation du télétravail. 
L’Etablissement a continué à travailler de manière très active avec des réunions régulières en télétravail.
Du coup, je ne pourrais pas répondre aux questions directement liées aux activités du ministère.",Utile,Utile,Non utilisé,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Très utile,Non,,,Oui,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,Accroissement du télétravail.,"Succès pour le fonctionnement continu de l’établissement 
Efficacité du télétravail pour certaines fonctions et volonté de le développer et de le structurer.",SNE8-F7TE,07/05/2020 11:27:25,,07/05/2020 11:41:45,860.8912812,FR,Terminé,Direct,Smartphone
414,Interieur,Autre,Directeur adjoint laboratoire de police scientifique,INPS,Auvergne-Rhône-Alpes,Pas suffisamment,Manque d'outils informatiques adaptés pour un télétravail effectif et efficace.,La 3ème semaine,1,"Rappel et discussion de l'ensemble des gestes barrière et de l'utilisation des EPI, appels téléphoniques et échanges par courriel pour une circulation optimale de l'information disponible, mise en application du PCA en mode dégradé (effectifs restreints), alternance hebdomadaire chef/adjoint, priorisation des taches lorsque nécessaire, multiplication des échanges avec le management intermédiaire pour la prise de décision et la mise en œuvre des décisions pour coller au mieux à la réalité.",Très utile,Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Inconnu,Inconnu,Non utilisé,Non utilisé,Oui,Pour la mise en place d'un accès Nomade2 le 10 avril après moultes tergiversations,"Pas d'outil adapté, pas de poste SPAN, impossibilité d'accéder directement à l'ensemble de l'information disponible depuis un poste de travail classique.",Oui mais insuffisamment,Courriels / Lettre d'information,,Pas encore,,Je ne sais pas encore,,"Une grande frustration et un manque cruel d'outils adaptés, l'impérieuse nécessité de s'équiper d'outils performants et d'en avoir les moyens financiers, la nécessité de mener une réflexion de fond et à tous les niveau sur le télétravail (conditions, outils, impacts), le manque de messages de ""ré-assurance"" à destination des agents.",83RS-JDMG,07/05/2020 11:21:46,,07/05/2020 11:42:46,1260.3841644,FR,Terminé,Direct,PC
415,Culture,Sous-directeur.trice (territoriale),,DRAC,Occitanie,Pas suffisamment,défaut d'équipement,Dès la 1ère semaine,2,"Pratique managériale, TAD",Très utile,Non utilisé,Utile,Utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Utile,Non,,disponibilité du réseau,Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Site Web,,Oui,retour via les CHSCT et les remontées hebdomadaires des chefs de servie,Oui,"TAD - Télétravail, pratiques de management","adaptation des outils aux besoins des misisons (patrimoine), doter les PC de caméra pour les visios",MQE7-WDV6,07/05/2020 11:16:08,,07/05/2020 11:47:39,1890.8998486,FR,Terminé,Direct,PC
416,Armées,Chef.fe de mission / département / bureau (centrale),,Secrétariat général pour l'administration / Direction des affaires financières / Bureau Chorus,,Oui,,La 2ème semaine,4,"Le bureau Chorus de la DAF compte 16 agents, dont la moitié était déjà en télétravail avant mars 2020. Cependant, le confinement a imposé le télétravail à des agents qui n'y étaient pas préparés, et en plus à raison de cinq jours sur cinq.(alors que le télétravail ne peut en temps normal excéder trois jours par semaine). L'effort managérial a essentiellement porté sur le maintien du lien (par Tchap, par téléphone) pour que ces agents ne se sentent pas complètement isolés ou désemparés.",Très utile,Non utilisé,Très utile,Pas utile,Non utilisé,Non utilisé,Très utile,Utile,Non utilisé,Pas utile,Utile,Non,,"La solution de mobilité (Smobi PC) mise en oeuvre par la DIRISI (direction interarmées des réseaux d'infrastructures et des systèmes d'information) est perfectible. Elle ne permet pas d'accéder aux serveurs ou aux VM que nous utilisons en temps normal. La bande passante n'a pas été dimensionnée pour un télétravail de masse, d'où certains problèmes de lenteurs ou déconnexions intempestive. Par ailleurs, la politique SSI du MINARM rend compliquée, voire impossible, l'utilisation d'outils collaboratifs, comme Whaller ou Osmose.",Non,Courriels / Lettre d'information;Web ou audio conférences;Autre,Utilisation régulière de la messagerie instantanée Tchap pour maintenir le lien avec notamment les agents qui n'ont pas pu bénéficier de la solution Smobi PC.,Pas encore,,Oui,"Le télétravail. Plusieurs agents de mon bureau, qui ne bénéficiaient pas encore d'une autorisation de télétravail avant la mi-mars, m'ont d'ailleurs indiqué qu'ils feraient une demande pour être en télétravail un ou deux jours par semaine.","Points positifs :
- Continuité de l’activité dans le respect des règles de confinement
- Zéro transport = pas de perte de temps, moins de fatigue et de stress, réduction de l’empreinte écologique (renforcée par le « zéro papier »).
- Moins de sollicitations intempestives, meilleure concentration sur les sujets de fond. Sollicitations par mails plus structurées et mieux documentées.
- Découverte de nouveaux outils de communication (audio-conférence, Skype, Defense Drive, etc.).

Points négatifs :
- Limitation intrinsèque de la solution Smobi PC
- Risque d’isolement professionnel des agents du fait du confinement. En temps normal, le TT est limité à 3 jours max. par semaine, et résulte d’une demande de l’agent.
- Risque de surcharge et de connexion permanente (porosité vie pro/perso)
- L’organisation du télétravail ait été traitée dans l’urgence, alors que le TT est identifié depuis plusieurs années comme un des moyens de maintenir l’activité en cas d’événement majeur (crue de la Seine, grèves, épidémies).",ZURZ-BT9Q,07/05/2020 09:06:38,,07/05/2020 11:49:34,9776.3940599,FR,Terminé,Direct,PC
417,Interieur,Directeur.trice (territoriale),,Centre d'expertise ressources titres permis de conduire,Provence-Alpes-Côte d'Azur,Oui,,Dès la 1ère semaine,1,,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,Pas d'accès aux boites fonctionnelles du ministère via Nomade2,Non,Courriels / Lettre d'information;Réseau social,,Oui,,Je ne sais pas encore,,"Pour des raisons de sécurité le ministère de l'intérieur interdit le télétravail pour certaines applications nationales comme le fichier des permis de conduire et le portail guichet agent (PGA) pour les permis de conduire
Il me semble utile d'engager une réflexion pour permettre une utilisation même restreinte de ces applications avec un nveau élevé de sécurité car elles ont faciles à utiliser en télétravail.
L'absence de télétravail nous a obligé à faire venir des agents sur site alors que les conditions sanitaires étaient incertaines.",EDXJ-96KZ,07/05/2020 11:41:27,,07/05/2020 11:49:55,507.9868831,FR,Terminé,Direct,PC
